"ISSN"
"01215469"
"16579534, 01208322"
"00426822, 10960341"
"15204812, 10431802"
"19365233"
"10974652, 00219541"
"08822786"
"10761551, 15283658"
"24699985, 24699993"
"15221490, 03636119"
"15451151"
"10648011, 15334287"
"15327752, 00223891"
"16394488"
"10991557, 10538569"
"21680418, 21680396"
"10725369"
"1878531X, 10169040"
"15346242, 15233804"
"15733521, 01607715"
"15258955, 08853010"
"01416359"
"-"
"00463892"
"00027316"
"19437684, 0031949X"
"15314995, 0023852X"
"22119736"
"15392570, 02716798"
"10959254, 01401971"
"02671379, 15317056"
"10990755, 10527613"
"10780874"
"20511434"
"15572625, 15587118"
"23312165"
"19324545"
"2169575X"
"24680249"
"00985589"
"19970463"
"19342616, 19342500"
"15297322, 15346315"
"19412444, 01486071"
"00212172, 15658511"
"10498931, 15570657"
"15737756, 10590161"
"2469990X"
"00223913, 10976841"
"08930341, 15464156"
"15312267, 10948341"
"00134651, 19457111"
"02784165, 10902686"
"09608923, 17080428"
"15732908, 15684539"
"-"
"02678179, 10991417"
"18115209"
"10421726, 18671233"
"10690727, 15524590"
"00218693, 1090266X"
"10979883, 03602532"
"18696961, 18696953"
"18793649, 15371891"
"10407294"
"0969711X"
"15736644, 01467239"
"15311309"
"01466216, 15523497"
"02724340, 15736830"
"10436871"
"15412040"
"10503307, 14684381"
"10902422, 00144827"
"15360040"
"15530671"
"24712906"
"15240215"
"23788763"
"87507587, 15221601"
"-"
"20458827"
"2164957X, 21649561"
"00909556, 1521009X"
"1095158X, 15593126"
"09650407, 15553906"
"21501149, 15333159"
"15581721, 00189529"
"15524833, 15524825"
"15364828, 08853177"
"19375093, 19375077"
"10769757"
"02790750, 14680114"
"19372817, 0022541X"
"15365409, 07498047"
"1542975X, 15429768"
"10538100, 10902376"
"15392031, 01920790"
"1752296X, 17522978"
"07410883"
"19330707, 19330715"
"21605890, 21605882"
"-"
"09325026, 16139798"
"10426914, 15322475"
"19321465, 19321473"
"01632116, 15732568"
"10647554, 15737055"
"14320827, 0171967X"
"15409996, 1931843X"
"20423306, 04251644"
"09636897, 15553892"
"15577295, 00983500"
"15327698, 15267431"
"01446657, 20448260"
"08870624, 15205029"
"10883576, 15384829"
"1539767X, 00318248"
"1086671X"
"00222372, 15451542"
"14615185"
"10897690, 00219606"
"-"
"10960813, 0022247X"
"19403402, 15596095"
"1554527X, 07360266"
"01454455, 15524167"
"22142096"
"19326203"
"08905339, 15312291"
"15517136"
"23259973, 23259965"
"1873281X, 14729792"
"15672190, 15672328"
"00219762, 10974679"
"14344599, 15532739"
"00189456, 15579662"
"1937335X, 19373341"
"-"
"19348266, 19348258"
"15363724, 1050642X"
"15507416"
"0034527X"
"19430620"
"00221376, 15375269"
"15216543, 15216551"
"14736322, 15284050"
"15205010, 0893228X"
"22184333"
"10597700, 15733599"
"10725245, 15733424"
"1083589X"
"15733327, 0009398X"
"23294973, 23294965"
"13570560, 1559131X"
"15526712"
"21676461, 2167647X"
"00389765"
"-"
"21687161"
"2167485X"
"23249943, 23249935"
"19438141"
"02711214, 15384845"
"00361399, 1095712X"
"15523349, 00027162"
"00335894"
"1548159X, 21637873"
"1093474X, 17521688"
"15524574, 10506519"
"0741238X, 18658652"
"21593930"
"12979678, 00448435"
"17580854, 17580846"
"00110035, 15566978"
"08873801"
"1533712X, 02710749"
"00293571"
"23250992, 23250984"
"01435671, 14755890"
"23356936"
"15398412, 21520895"
"10766332, 18784046"
"23345985, 07381360"
"10886826, 00029939"
"1096987X, 01928651"
"18163459, 18168957"
"10966218, 15577740"
"10634266"
"10459219"
"15583791, 15497747"
"23256095"
"15353699, 15353702"
"14687984"
"14653362, 09595236"
"19390025, 00029432"
"23297662, 23297670"
"15283968, 00296554"
"08837554"
"07369387, 19347243"
"23778253, 23778261"
"15547914"
"10541500, 10897682"
"14355957, 10568190"
"03643190, 15736903"
"21578095"
"15405982, 00084085"
"00261386, 1467999X"
"24056766"
"00360112, 15490831"
"17486653, 17486645"
"14614456, 14617080"
"15524957, 15524949"
"-"
"07248741, 1573904X"
"17520606, 0194472X"
"15278018, 08992363"
"15233782, 15343170"
"19420889"
"19466536, 19466544"
"0065230X"
"15365050, 15589439"
"00223239, 15732878"
"08848289"
"21604142, 21604134"
"10960481, 08891575"
"14735709, 09598278"
"00222585"
"23249269"
"21530858"
"21622256, 21622248"
"0082805X"
"19427751"
"15524523, 07334648"
"00218294"
"00222011, 10960805"
"15414140, 07356331"
"00189359, 15579638"
"10468188, 15582868"
"08893241"
"23566124, 23567759"
"18735169, 01969781"
"01457217, 15546063"
"01764268, 14321343"
"00189383"
"10459243"
"08865930"
"19353820, 19353812"
"18733379, 08914222"
"10766294, 19318448"
"20908024, 20900252"
"08958696, 15591166"
"19359705, 19359713"
"15321096, 10448004"
"00018244, 15733297"
"-"
"15493296"
"23248645, 23248637"
"24709239"
"1878187X, 10777229"
"19425120"
"10924388, 15589102"
"10439862, 15525406"
"00121630, 10982302"
"15303667, 15577759"
"10959939, 00483575"
"19481756"
"14687968, 17412706"
"10857117, 15372693"
"15456110, 00659533"
"19373392, 19373384"
"-"
"14441586, 14470594"
"19650175"
"10769803"
"1040452X, 10982795"
"08835993, 15360237"
"0017467X, 17456584"
"24747394"
"1556181X, 15561801"
"23298464, 23298456"
"15399672, 15399664"
"10732748, 15262359"
"19382022, 19382014"
"09362835, 15327035"
"14603624, 09579265"
"15407969"
"21563357"
"15566676, 07489633"
"0969594X, 1465329X"
"19435509, 08873828"
"23274697"
"10760512, 15244725"
"22110356, 22110348"
"00225002, 19383711"
"00910562, 15732770"
"14350653, 0011183X"
"20458932, 20458940"
"00223018, 1539736X"
"19437722, 00029173"
"09578765, 15737888"
"15324818, 08957347"
"17088259, 14994046, 18782620"
"21686750"
"00144851, 17412765"
"15396509"
"15581691, 03649059"
"07488491"
"18761631, 18761623"
"08831351"
"14736500, 09527907"
"14992671"
"-"
"-"
"15592316"
"24715646, 24715638"
"15567125, 15353141"
"21610045, 08894019"
"00411612"
"1097184X"
"00652296"
"22121358, 2212134X"
"20511310, 20511329"
"15732843, 10621024"
"10870571, 1552454X"
"-"
"00189162"
"00034916, 1096035X"
"19488335, 19488327"
"15592332, 1559713X"
"15333876, 07484658"
"15737365, 08857490"
"0885064X, 10902708"
"19308345, 19308337"
"15327558, 10705503"
"21693536"
"01462679, 15452549"
"-"
"24699888"
"10638539"
"07332459, 10981101"
"15738604, 01640291"
"19585594, 19585586"
"23264462, 23264470"
"15433080, 15435474"
"08852545"
"15563669, 15305627"
"10959300, 10715819"
"0257277X, 15590755"
"15322300, 07373937"
"-"
"15336794, 00224650"
"17088283, 08830738"
"19387458, 15345084"
"1098240X, 01606891"
"15577392, 1049331X"
"16878337, 16878345"
"-"
"15569039, 19376995"
"10709878"
"15563324, 15563316"
"19382367, 01477447"
"15482456, 1531426X"
"00224715, 15729613"
"21501327, 21501319"
"23253215, 23253193"
"09643397"
"10566163, 15382982"
"1936055X, 19360568"
"-"
"-"
"10902724, 00220000"
"23294051, 19391412"
"15571858, 15571866"
"00109312, 1938159X"
"07307829"
"18670334, 18670342"
"07487711, 19381352"
"19348525, 19348533"
"00220078, 17456606"
"18682529, 18685994"
"15347656, 10859373"
"15587878"
"10897550, 00218979"
"19349491, 19349556"
"15527565, 10778004"
"10802371, 15386899"
"07418329"
"00131245, 15523535"
"10983058, 19434294"
"20530196, 2053020X"
"1070664X, 10897674"
"09540075, 15576833"
"1932751X, 19327501"
"21632480, 21632472"
"08918929"
"10590889, 15589137"
"0364216X, 14325241"
"10897658, 00222488"
"19321058"
"2165591X"
"00224006"
"19457243, 00469580"
"01639641, 10970355"
"17427843, 17427835"
"02729490"
"03855600, 13480421"
"00108847"
"18688500, 18688497"
"19343671, 1934368X"
"18749372, 00068101"
"-"
"13960466"
"19371632, 19371179"
"01930826"
"0148558X"
"10873244"
"16878639, 16878647"
"-"
"20406207, 20406215"
"10683070"
"19424302, 19424310"
"19336934, 19336942"
"15316998, 10689508"
"1531636X"
"19409818, 07366205"
"-"
"03425282, 14735660"
"16113683"
"22124403, 22124411"
"0092623X, 15210715"
"01485598, 1573689X"
"20407947, 20407939"
"23521872"
"00266493"
"17511097, 00318655"
"10521372"
"18735061, 18767753"
"23258160, 23258179"
"15361268"
"15579891, 15579883"
"-"
"-"
"00157120"
"21533687"
"07367791"
"15207439"
"19433700, 00903558"
"02749696"
"20552238"
"1936976X, 19369751"
"10949224, 15577406"
"15736717, 01461044"
"00914509"
"-"
"15576051, 15335399"
"15334295, 15241602"
"00333085, 15206807"
"26379112, 26379120"
"00034894, 1943572X"
"19401019, 00223980"
"15537250"
"21921962"
"21544212, 21518378"
"-"
"15348687, 15203247"
"07367236"
"15251489, 08850666"
"15371603, 07360258"
"1479828X, 00048666"
"10936106"
"19395108, 19390068"
"10525629, 15526658"
"21512299, 16140001"
"10960430, 00219045"
"15577732, 10807683"
"10659293"
"02713586, 10970274"
"17562872, 17562880"
"1357714X, 13691643"
"00224502"
"1464066X, 00207594"
"2052174X, 20521758"
"15323382, 15323390"
"00928240, 15229602"
"19398697, 00063185"
"17504716, 17504708"
"21946426, 21946418"
"10636927"
"18799817"
"18791107, 10964959"
"-"
"15310043, 15309681"
"-"
"15443191, 15443450"
"00257974, 15365964"
"22114599"
"0306624X, 15526933"
"23288620"
"07434863, 2162660X"
"15427617, 15427609"
"10515658, 15206831"
"-"
"10641955, 15256065"
"22145796"
"23770996, 23294175"
"-"
"13591045"
"21672148"
"15304515, 15344908"
"10844627"
"17413028, 10812865"
"23796111"
"15439542, 00222402"
"15579034, 10926429"
"15734862, 01959298"
"10534512, 15384810"
"15326969, 10407413"
"21903948, 2190393X"
"21624135, 0079032X"
"23254394, 23254416"
"20900201, 2090021X"
"21626057, 00220175"
"15420760, 15420752"
"20902654, 20902662"
"10748407, 1552549X"
"10943412, 15563308"
"00721050, 10991034"
"19400829"
"15389855, 03633624"
"21568499, 21568472"
"15562646, 15562654"
"-"
"-"
"10573631, 15505065"
"20952228, 20952236"
"15293181"
"10998004"
"15528278, 10464964"
"02780070"
"00029114"
"10451064"
"15288986, 01996231"
"01484834"
"-"
"03621588"
"1938212X, 18423191"
"-"
"0022300X"
"15396304, 10885412"
"20513909, 20513895"
"15504298, 1550428X"
"08941912, 1554558X"
"15417026"
"00138746"
"01973533, 15324834"
"13142607, 10709428"
"00961191"
"10813004"
"14735849, 09558810"
"00031232, 19364784"
"19336896, 1933690X"
"15564711, 15564673"
"00224901, 17454603"
"1664235X, 16642368"
"23763647, 23763639"
"00332720, 15736709"
"00319228"
"00031488, 1943569X"
"10474412, 1532768X"
"16878787, 16878795"
"08939675"
"03639762, 15360229"
"00083976, 17447976"
"21491291"
"21695032, 15553434"
"23327766"
"-"
"19363761, 1936377X"
"19457871"
"21679436"
"01618202"
"00052086"
"00359475"
"-"
"1528896X, 08927219"
"-"
"1540658X, 15578127"
"01617761, 15481492"
"00027294, 15481433"
"-"
"1940087X"
"-"
"21617856, 2161783X"
"19322275"
"10962506"
"0886022X, 15256049"
"-"
"09698051, 18729614"
"15434303, 15434311"
"-"
"-"
"16877365, 16877357"
"10831363"
"19585780, 11663081"
"15337146"
"1095726X, 00224596"
"15362442"
"12928941, 1292895X"
"00122017, 17468361"
"07340451, 10988955"
"00332933, 21633452"
"15517489"
"21507740, 21507759"
"15528456, 01939459"
"23264519, 23264500"
"-"
"16874188, 16874196"
"15579999, 10638210"
"15322467, 01630563"
"15322319, 02773813"
"19413300, 00224561"
"15260976, 10892591"
"17441595, 17441609"
"15504832, 15504840"
"19325223"
"15571882, 15571874"
"0890037X, 15502740"
"15363694, 01634356"
"10646671"
"15526917, 10553290"
"17382696, 22125469"
"15577600, 1096620X"
"10761608, 15367355"
"00656895"
"16875273, 16875265"
"17522439, 17522447"
"15504816"
"10915818, 1092874X"
"10892699, 19307802"
"00084182, 17153360"
"10629408"
"08832919"
"00334545"
"00207780, 1564913X"
"20591101, 20591098"
"15324206, 07435800"
"08923647, 15389286"
"15564665, 15564703"
"15248399"
"14770849, 01436244"
"16878566, 16878558"
"20411626, 20411618"
"10740708"
"15367967, 15367975"
"00912131, 15481352"
"21604096, 2160410X"
"15394182, 15546179"
"15538389"
"00775630"
"10434046, 15221229"
"-"
"-"
"00238791, 15424278"
"1548825X"
"09546928, 14735830"
"14320665, 09335846"
"07346875, 20537387"
"15327876, 08995605"
"23738731"
"14330490, 14324350"
"01942638, 15413144"
"15507629"
"23816910, 23816872"
"10712690, 1543706X"
"-"
"19383797, 10868089"
"07325223, 1545231X"
"20541058"
"08921016"
"10969888, 10765174"
"14752689, 10545476"
"15273342"
"00210552"
"13678779"
"15378918, 1537890X"
"20956983, 21980942"
"-"
"15568598, 18799809"
"21968837"
"10599495, 15441024"
"15332845, 15332853"
"15523918, 01632787"
"19398638, 00943061"
"21532028, 19484682"
"14321424, 00222631"
"00914150, 15413535"
"-"
"15572528, 10616934"
"14406381, 17416612"
"19434936, 10406387"
"21934134, 21934126"
"10917683, 07481187"
"07431619"
"15590682, 00242594"
"10225536, 23094990"
"18666892, 18666906"
"07485492"
"-"
"05865964"
"0733947X"
"15582027, 15582035"
"19313195"
"21607648, 2160763X"
"15360083, 15353516"
"19477988"
"-"
"20507445"
"10991727, 08837066"
"19417012"
"02724391, 10982299"
"10547738, 15523799"
"16788052, 1519566X"
"1097461X, 00207608"
"20755309"
"15360911, 15360903"
"-"
"15371921, 08984921"
"1056263X, 15733580"
"10928758"
"-"
"22105379"
"15572501, 10423931"
"08961530, 15287068"
"19381328, 00219584"
"00486604, 1944799X"
"15377903, 15377911"
"15576418"
"01606379, 15505057"
"-"
"-"
"11033088"
"-"
"20542577, 20542585"
"15593258"
"19381972, 19381980"
"15583465, 15399087"
"02508052, 13652338"
"08948275"
"-"
"15728900, 15662543"
"19372345, 00223395"
"21682356"
"02701960, 15453847"
"16618262, 16618254"
"23756322, 23756314"
"15372677, 07409303"
"01458892, 17454549"
"08922764, 15733335"
"21970025"
"12063312"
"24732893, 24732907"
"19450265, 19450257"
"2169981X, 21699798"
"-"
"10508619"
"14791420, 14794233"
"08930465"
"19485093, 19485085"
"15272133, 00031283"
"00335630, 14795779"
"-"
"-"
"19452837, 19452829"
"19400896, 00221325"
"10610022, 15477371"
"10989056, 07340478"
"10880763, 15433390"
"14765284, 14765292"
"10760431, 19435568"
"23525126"
"21583226"
"00989495"
"23254270"
"00025232"
"-"
"-"
"-"
"23321512, 23321539"
"14259524, 23290358"
"15598276, 15598284"
"07342071, 15577333"
"1087724X"
"1054660X, 15556611"
"10538720"
"1949307X"
"00167428, 19310846"
"00149187"
"15328759"
"21510040, 21510032"
"15498425, 15498417"
"15526364, 07399863"
"15578062, 15331296"
"15385744"
"2151559X, 21515581"
"22638733, 22742042"
"24734276"
"-"
"01621424, 15450856"
"10917527, 19390602"
"15324141, 03610918"
"10981098, 08999457"
"00084034, 1939019X"
"00981389, 1541034X"
"01616846, 15411540"
"-"
"-"
"15413527, 00912174"
"13609939"
"1467629X, 08105391"
"14732254"
"15351025"
"15413764, 00302228"
"18412394"
"23996528"
"15593959"
"01953613, 19364768"
"-"
"14735725, 13595237"
"10871640, 15432696"
"1948660X"
"16874129, 16874110"
"00220485"
"10783458, 19405200"
"22517715, 21953228"
"00192082"
"18070302, 22383603"
"-"
"-"
"00031062"
"1046669X, 15407039"
"19371209, 19371217"
"01480545, 15256014"
"-"
"-"
"14735865, 1060152X"
"15560848, 0095327X"
"-"
"00154040"
"13220829, 14401835"
"21680264, 21680256"
"2576098X"
"15404048, 01634372"
"1552146X, 00930334"
"19302126"
"19482124, 10797440"
"19340508, 1091028X"
"19365209, 19403496"
"17012163"
"23330384, 23330376"
"08997659, 15488667"
"-"
"00308129"
"00281522, 21614296"
"0272684X, 15413519"
"00029890"
"23520779"
"-"
"15525724, 08980101"
"00141836"
"23796146"
"07339372, 19437870"
"-"
"15337731, 08935394"
"00343552, 15384853"
"15245012"
"19416636, 19416628"
"10956670, 10990461"
"19449925"
"10990542, 10613773"
"15330311, 01931091"
"21684790, 21684804"
"-"
"20533691, 20533705"
"15736652, 10900578"
"25735438"
"19345267"
"15594076, 1942597X"
"-"
"15588025, 15426297"
"17521890, 17521882"
"17543266, 17543274"
"25899864"
"21618062, 0003097X"
"14735733, 09575235"
"-"
"-"
"-"
"-"
"-"
"-"
"23264098, 23264594"
"15211398, 15729206"
"22808000"
"15385159, 00179078"
"18415261"
"17579996, 16021622"
"19334206, 19334192"
"15470636, 10498850"
"-"
"01957910, 1533404X"
"-"
"-"
"19489358"
"-"
"17552672"
"08975930"
"1369801X"
"-"
"19394071, 19375174"
"1938436X, 0007196X"
"-"
"-"
"-"
"15555623"
"08943214, 10991522"
"22518819, 22518363"
"19457901, 19457898"
"24059854"
"00382280, 18136982"
"-"
"15564908, 15565009"
"1110662X, 1687529X"
"16875281, 16875176"
"00098604, 15528367"
"10982361, 07333188"
"17413206, 14687976"
"-"
"21681678, 21630070"
"15451410, 00763519"
"00222216"
"08911762, 15286975"
"-"
"21650969, 21650799"
"20901542, 20901550"
"21585857, 21585849"
"23322705, 23322713"
"00196665"
"15206378, 03612317"
"0268540X"
"07306679, 10982329"
"-"
"-"
"-"
"10680314"
"-"
"00357596"
"0006324X"
"10826068, 15322297"
"14738724, 14738716"
"15729966, 10434062"
"00411345"
"00029920"
"23764791, 07395329"
"22142495, 22142487"
"1536383X, 15364046"
"15275477, 00141801"
"-"
"-"
"15331458"
"23267178"
"19382766, 08851158"
"1532771X, 15348431"
"15450805, 10454438"
"10974601, 05388066"
"03630269, 1532432X"
"00104124, 19458517"
"24725390"
"-"
"-"
"21553289, 21553297"
"21926670, 21926662"
"10542523, 15548120"
"0025732X, 15232859"
"20908059, 20420064"
"21611920, 00220787"
"15322351, 01932691"
"0887381X, 19435495"
"19354185"
"-"
"10634304, 10477594"
"15403548, 10894160"
"00219347"
"15738485, 00162663"
"15738922, 01915665"
"15435865"
"01639269, 15444546"
"-"
"-"
"10553177"
"18665888, 21905150"
"10434534, 19382944"
"01161105, 19967241"
"-"
"15504808"
"-"
"10976736"
"15338010, 10638016"
"07400551, 15502252"
"00084840, 17547121"
"21635323, 10742956"
"-"
"15271544, 15527468"
"19414889, 19414897"
"-"
"19486596"
"-"
"-"
"15487768, 15487776"
"15389472"
"10535381"
"15480992"
"15566056"
"15550761, 15550753"
"11795557"
"00047554, 15494950"
"23740361, 23740353"
"1053816X"
"-"
"03616525"
"-"
"15228991, 15228835"
"1687949X, 16879481"
"10553096"
"15272966, 00991767"
"20752180"
"19443994, 19443986"
"-"
"15306550"
"01912216"
"-"
"-"
"-"
"-"
"-"
"01484184, 23274468"
"-"
"10935266, 16155742"
"10728325"
"14774585, 00027189"
"15327604, 10888705"
"19449771, 19457774"
"20476973, 20476965"
"1522239X, 00148962"
"-"
"14784408, 14723581"
"00027812"
"-"
"-"
"0092055X"
"21582440"
"15739228, 10648887"
"-"
"-"
"-"
"17457939, 00288144"
"00952443, 15308006"
"-"
"-"
"01471724"
"26883627, 01487191"
"02784807"
"10747931, 23312637"
"00224154"
"10906924"
"15729575, 00207748"
"17538564, 00732753"
"-"
"-"
"-"
"15298795, 00315982"
"10759565, 15260984"
"-"
"15778517"
"24725579, 24725587"
"21624933"
"1548226X, 1089201X"
"10712836, 15738760"
"23813717"
"15728862, 10407278"
"-"
"10846999"
"-"
"0956666X, 18635377"
"23289643, 15236803"
"00912751, 10970096"
"23979070"
"-"
"15559823, 00031348"
"-"
"-"
"15301346"
"10875549, 15407608"
"-"
"15525031"
"00103624, 15322416"
"00376779"
"-"
"07498004"
"19473451, 1947346X"
"08879311, 15505138"
"15352811, 1535282X"
"-"
"-"
"-"
"15403556, 10911359"
"10522158"
"21555044"
"19359179"
"15261492, 15261506"
"18780369, 00012092"
"1532236X, 00032719"
"-"
"10614303, 15547531"
"14626446"
"00219096, 17452538"
"16879767, 16879775"
"23255374"
"07395159"
"-"
"08876274, 15389782"
"01488376, 15407314"
"26415224"
"00108812"
"2325887X, 23258861"
"21694826, 21694834"
"15546136, 15546128"
"10853375, 16870409"
"-"
"-"
